"expID","subID","eye","targetCategory","targetID","quadrant","breakTime","flag","outlier","pairedID"
"Binary","3","Right","Upright",8,"Left",5.9318262,0,0,"A08"
"Binary","3","Right","Inverted",36,"Left",15,1,NA,"B16"
"Binary","3","Right","Inverted",39,"Left",13.0044977,0,0,"B19"
"Binary","3","Right","Inverted",28,"Left",5.6968621,0,0,"B08"
"Binary","3","Right","Upright",20,"Right",9.3673908,0,0,"A20"
"Binary","3","Right","Inverted",27,"Right",11.1909051,0,0,"B07"
"Binary","3","Right","Inverted",24,"Left",15,1,NA,"B04"
"Binary","3","Right","Upright",2,"Left",9.3724156,0,0,"A02"
"Binary","3","Right","Inverted",39,"Right",12.6486857,0,0,"B19"
"Binary","3","Right","Upright",9,"Left",10.6087776,0,0,"A09"
"Binary","3","Right","Inverted",24,"Right",4.1074687,0,0,"B04"
"Binary","3","Right","Upright",2,"Right",15,1,NA,"A02"
"Binary","3","Right","Upright",1,"Right",10.6620944,0,0,"A01"
"Binary","3","Right","Upright",8,"Right",6.626286,0,0,"A08"
"Binary","3","Right","Upright",17,"Right",15,1,NA,"A17"
"Binary","3","Right","Inverted",31,"Right",5.3122691,0,0,"B11"
"Binary","3","Right","Inverted",26,"Right",15,1,NA,"B06"
"Binary","3","Right","Inverted",30,"Right",8.5636401,0,0,"B10"
"Binary","3","Right","Upright",16,"Right",15,1,NA,"A16"
"Binary","3","Right","Inverted",23,"Right",7.0025054,0,0,"B03"
"Binary","3","Right","Inverted",32,"Left",11.2547429,0,0,"B12"
"Binary","3","Right","Inverted",37,"Left",15,1,NA,"B17"
"Binary","3","Right","Upright",20,"Left",10.6219102,0,0,"A20"
"Binary","3","Right","Upright",7,"Right",6.6075376,0,0,"A07"
"Binary","3","Right","Inverted",33,"Left",8.8336919,0,0,"B13"
"Binary","3","Right","Inverted",35,"Left",15,1,NA,"B15"
"Binary","3","Right","Inverted",36,"Right",15,1,NA,"B16"
"Binary","3","Right","Upright",9,"Right",15,1,NA,"A09"
"Binary","3","Right","Inverted",40,"Right",10.4123021,0,0,"B20"
"Binary","3","Right","Inverted",34,"Right",9.4073249,0,0,"B14"
"Binary","3","Right","Upright",5,"Left",15,1,NA,"A05"
